datasetName,errorType,feature,modelName,percentage,epc_at
water_potability.csv,Noisy,Organic_carbon,LogisticRegression,0.8,0.8772
water_potability.csv,Noisy,Organic_carbon,QuadraticDiscriminantAnalysis,0.6,0.8773
water_potability.csv,Noisy,Hardness,AdaBoostClassifier,0.6,0.8774
water_potability.csv,Noisy,Hardness,AdaBoostClassifier,0.4,0.8776
water_potability.csv,Noisy,Sulfate,RandomForestClassifier,0.4,0.8779
water_potability.csv,Noisy,Trihalomethanes,GradientBoostingClassifier,0.4,0.8782
water_potability.csv,Noisy,Solids,QuadraticDiscriminantAnalysis,0.4,0.8786
water_potability.csv,Noisy,Organic_carbon,LinearDiscriminantAnalysis,0.8,0.8789
water_potability.csv,Labels,Potability,GradientBoostingClassifier,0.6,0.8792
water_potability.csv,Outlier,Hardness,GaussianNB,0.6,0.8799
water_potability.csv,Labels,Potability,GaussianNB,0.8,0.8802
water_potability.csv,Noisy,Chloramines,GaussianNB,0.4,0.8803
water_potability.csv,Noisy,Hardness,ExtraTreesClassifier,0.8,0.8805
water_potability.csv,Outlier,Turbidity,QuadraticDiscriminantAnalysis,0.4,0.8807
water_potability.csv,Noisy,Sulfate,RidgeClassifier,0.4,0.8809
water_potability.csv,Outlier,Sulfate,LinearDiscriminantAnalysis,0.4,0.881
water_potability.csv,Outlier,Sulfate,QuadraticDiscriminantAnalysis,0.4,0.8811
water_potability.csv,DuplicatedAll,Potability,MLPClassifier,0.6,0.8812
water_potability.csv,Noisy,Sulfate,GaussianNB,0.4,0.8815
water_potability.csv,Labels,Potability,LogisticRegression,0.8,0.8817
water_potability.csv,Outlier,Organic_carbon,QuadraticDiscriminantAnalysis,0.4,0.8817
water_potability.csv,Noisy,Conductivity,DecisionTreeClassifier,0.4,0.882
water_potability.csv,Outlier,ph,ExtraTreesClassifier,0.4,0.8823
water_potability.csv,Noisy,Turbidity,LinearDiscriminantAnalysis,0.4,0.8835
water_potability.csv,Noisy,Organic_carbon,DecisionTreeClassifier,0.4,0.8835
water_potability.csv,Noisy,Turbidity,GaussianNB,0.4,0.8844
water_potability.csv,Noisy,Trihalomethanes,QuadraticDiscriminantAnalysis,0.4,0.8849
water_potability.csv,Noisy,ph,AdaBoostClassifier,0.6,0.8858
water_potability.csv,Outlier,Chloramines,QuadraticDiscriminantAnalysis,0.4,0.8867
water_potability.csv,Noisy,Hardness,ExtraTreesClassifier,0.6,0.8868
water_potability.csv,Outlier,Sulfate,DecisionTreeClassifier,0.8,0.8869
water_potability.csv,Outlier,Hardness,QuadraticDiscriminantAnalysis,0.6,0.8874
water_potability.csv,Noisy,Turbidity,RidgeClassifier,0.4,0.8876
water_potability.csv,Noisy,Solids,RidgeClassifier,0.4,0.8879
water_potability.csv,Noisy,Solids,LogisticRegression,0.4,0.888
water_potability.csv,Noisy,Turbidity,LogisticRegression,0.4,0.8881
water_potability.csv,Noisy,Hardness,AdaBoostClassifier,0.8,0.8885
water_potability.csv,Labels,Potability,RidgeClassifier,0.8,0.8901
water_potability.csv,Labels,Potability,LinearDiscriminantAnalysis,0.8,0.891
water_potability.csv,Noisy,Solids,GradientBoostingClassifier,0.4,0.8913
water_potability.csv,Noisy,Conductivity,KNeighborsClassifier,0.6,0.8914
water_potability.csv,Noisy,Hardness,QuadraticDiscriminantAnalysis,0.4,0.8914
water_potability.csv,Outlier,ph,GaussianNB,0.8,0.8933
