",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
171,citrus.csv,Missing,0.4,red,RandomForestClassifier,1.0,0.5102,1.0,1.0,1.0
172,citrus.csv,Missing,0.4,red,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
173,citrus.csv,Missing,0.4,red,ExtraTreesClassifier,1.0,0.5092,1.0,1.0,1.0
174,citrus.csv,Missing,0.4,red,CatBoostClassifier,1.0,0.6996,1.0,1.0,1.0
175,citrus.csv,Missing,0.4,red,MLPClassifier,1.0,0.506,1.0,1.0,1.0
176,citrus.csv,Missing,0.4,red,GaussianProcessClassifier,1.0,0.503,1.0,1.0,1.0
177,citrus.csv,Missing,0.4,red,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
178,citrus.csv,Missing,0.4,red,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
179,citrus.csv,Missing,0.4,red,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
180,citrus.csv,Missing,0.4,red,RidgeClassifier,1.0,,1.0,1.0,1.0
181,citrus.csv,Missing,0.4,red,LinearDiscriminantAnalysis,1.0,0.5016,1.0,1.0,1.0
182,citrus.csv,Missing,0.4,red,QuadraticDiscriminantAnalysis,1.0,0.5021,1.0,1.0,1.0
183,citrus.csv,Missing,0.4,red,SGDClassifier,0.9995,,1.0,0.999,0.9995
184,citrus.csv,Missing,0.4,red,GaussianNB,0.946,0.4831,0.9504,0.9449,0.9476
185,citrus.csv,Missing,0.4,red,SVC,0.513,0.3058,0.0525,1.0,0.0998
186,citrus.csv,Missing,0.4,red,DummyClassifier,0.486,0.5,0.0,0.0,0.0
187,citrus.csv,Missing,0.6,red,LogisticRegression,1.0,0.5045,1.0,1.0,1.0
188,citrus.csv,Missing,0.6,red,ExtraTreesClassifier,1.0,0.5258,1.0,1.0,1.0
189,citrus.csv,Missing,0.6,red,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
190,citrus.csv,Missing,0.6,red,CatBoostClassifier,1.0,0.7267,1.0,1.0,1.0
191,citrus.csv,Missing,0.6,red,RandomForestClassifier,1.0,0.5067,1.0,1.0,1.0
192,citrus.csv,Missing,0.6,red,GaussianProcessClassifier,1.0,0.503,1.0,1.0,1.0
193,citrus.csv,Missing,0.6,red,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
194,citrus.csv,Missing,0.6,red,MLPClassifier,1.0,0.5001,1.0,1.0,1.0
195,citrus.csv,Missing,0.6,red,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
196,citrus.csv,Missing,0.6,red,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
197,citrus.csv,Missing,0.6,red,SGDClassifier,0.9995,,0.999,1.0,0.9995
