",",experiment_run,datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1,AMI,SILHOUETTE,K
221,7,satimage_sample3600.csv,missing,0.8,[F12attr],HDBSCAN,,,,,,0.2489,0.2758,3.0
222,7,satimage_sample3600.csv,missing,0.8,[F12attr],Gaussian Mixture Model,,,,,,0.5403,0.1461,5.0
223,7,satimage_sample3600.csv,missing,0.8,[F12attr],BIRCH,,,,,,0.5146,0.3017,6.0
224,7,satimage_sample3600.csv,missing,0.8,[F12attr],Hierarchical Clustering,,,,,,0.5736,0.3461,6.0
225,7,satimage_sample3600.csv,missing,0.9,[F12attr],K-Means,,,,,,0.4628,0.3203,6.0
226,7,satimage_sample3600.csv,missing,0.9,[F12attr],HDBSCAN,,,,,,0.2503,0.3198,3.0
227,7,satimage_sample3600.csv,missing,0.9,[F12attr],Gaussian Mixture Model,,,,,,0.5038,0.167,4.0
228,7,satimage_sample3600.csv,missing,0.9,[F12attr],BIRCH,,,,,,0.4625,0.3174,6.0
229,7,satimage_sample3600.csv,missing,0.9,[F12attr],Hierarchical Clustering,,,,,,0.5671,0.3496,6.0
230,7,satimage_sample3600.csv,missing,0.1,[A13attr],K-Means,,,,,,0.5292,0.3351,6.0
231,7,satimage_sample3600.csv,missing,0.1,[A13attr],HDBSCAN,,,,,,0.2437,0.2515,4.0
232,7,satimage_sample3600.csv,missing,0.1,[A13attr],Gaussian Mixture Model,,,,,,0.502,0.0392,6.0
233,7,satimage_sample3600.csv,missing,0.1,[A13attr],BIRCH,,,,,,0.5185,0.3104,6.0
234,7,satimage_sample3600.csv,missing,0.1,[A13attr],Hierarchical Clustering,,,,,,0.5673,0.3462,6.0
235,7,satimage_sample3600.csv,missing,0.2,[A13attr],K-Means,,,,,,0.5908,0.3527,6.0
236,7,satimage_sample3600.csv,missing,0.2,[A13attr],HDBSCAN,,,,,,0.2469,0.285,5.0
237,7,satimage_sample3600.csv,missing,0.2,[A13attr],Gaussian Mixture Model,,,,,,0.5006,0.0329,6.0
238,7,satimage_sample3600.csv,missing,0.2,[A13attr],BIRCH,,,,,,0.5638,0.2819,6.0
239,7,satimage_sample3600.csv,missing,0.2,[A13attr],Hierarchical Clustering,,,,,,0.5651,0.3457,6.0
240,7,satimage_sample3600.csv,missing,0.3,[A13attr],K-Means,,,,,,0.5889,0.3518,6.0
241,7,satimage_sample3600.csv,missing,0.3,[A13attr],HDBSCAN,,,,,,0.2432,0.2793,4.0
242,7,satimage_sample3600.csv,missing,0.3,[A13attr],Gaussian Mixture Model,,,,,,0.5066,0.0361,6.0
